Data,Indicador,Valor
1980-01-01,IPCA,6.62
1980-01-01,SELIC,NA
1980-02-01,IPCA,4.62
1980-02-01,SELIC,NA
1980-03-01,IPCA,6.04
1980-03-01,SELIC,NA
1980-04-01,IPCA,5.29
1980-04-01,SELIC,NA
1980-05-01,IPCA,5.7
1980-05-01,SELIC,NA
1980-06-01,IPCA,5.31
1980-06-01,SELIC,NA
1980-07-01,IPCA,5.55
1980-07-01,SELIC,NA
1980-08-01,IPCA,4.95
1980-08-01,SELIC,NA
1980-09-01,IPCA,4.23
1980-09-01,SELIC,NA
1980-10-01,IPCA,9.48
1980-10-01,SELIC,NA
1980-11-01,IPCA,6.67
1980-11-01,SELIC,NA
1980-12-01,IPCA,6.61
1980-12-01,SELIC,NA
1981-01-01,IPCA,6.84
1981-01-01,SELIC,NA
1981-02-01,IPCA,6.4
1981-02-01,SELIC,NA
1981-03-01,IPCA,4.97
1981-03-01,SELIC,NA
1981-04-01,IPCA,6.46
1981-04-01,SELIC,NA
1981-05-01,IPCA,5.56
1981-05-01,SELIC,NA
1981-06-01,IPCA,5.52
1981-06-01,SELIC,NA
1981-07-01,IPCA,6.26
1981-07-01,SELIC,NA
1981-08-01,IPCA,5.5
1981-08-01,SELIC,NA
1981-09-01,IPCA,5.26
1981-09-01,SELIC,NA
1981-10-01,IPCA,5.08
1981-10-01,SELIC,NA
1981-11-01,IPCA,5.27
1981-11-01,SELIC,NA
1981-12-01,IPCA,5.93
1981-12-01,SELIC,NA
1982-01-01,IPCA,6.97
1982-01-01,SELIC,NA
1982-02-01,IPCA,6.64
1982-02-01,SELIC,NA
1982-03-01,IPCA,5.71
1982-03-01,SELIC,NA
1982-04-01,IPCA,5.89
1982-04-01,SELIC,NA
1982-05-01,IPCA,6.66
1982-05-01,SELIC,NA
1982-06-01,IPCA,7.1
1982-06-01,SELIC,NA
1982-07-01,IPCA,6.36
1982-07-01,SELIC,NA
1982-08-01,IPCA,5.97
1982-08-01,SELIC,NA
1982-09-01,IPCA,5.08
1982-09-01,SELIC,NA
1982-10-01,IPCA,4.44
1982-10-01,SELIC,NA
1982-11-01,IPCA,5.29
1982-11-01,SELIC,NA
1982-12-01,IPCA,7.81
1982-12-01,SELIC,NA
1983-01-01,IPCA,8.64
1983-01-01,SELIC,NA
1983-02-01,IPCA,7.86
1983-02-01,SELIC,NA
1983-03-01,IPCA,7.34
1983-03-01,SELIC,NA
1983-04-01,IPCA,6.58
1983-04-01,SELIC,NA
1983-05-01,IPCA,6.48
1983-05-01,SELIC,NA
1983-06-01,IPCA,9.88
1983-06-01,SELIC,NA
1983-07-01,IPCA,10.08
1983-07-01,SELIC,NA
1983-08-01,IPCA,9.11
1983-08-01,SELIC,NA
1983-09-01,IPCA,10.3
1983-09-01,SELIC,NA
1983-10-01,IPCA,8.87
1983-10-01,SELIC,NA
1983-11-01,IPCA,7.38
1983-11-01,SELIC,NA
1983-12-01,IPCA,8.68
1983-12-01,SELIC,NA
1984-01-01,IPCA,9.67
1984-01-01,SELIC,NA
1984-02-01,IPCA,9.5
1984-02-01,SELIC,NA
1984-03-01,IPCA,8.94
1984-03-01,SELIC,NA
1984-04-01,IPCA,9.54
1984-04-01,SELIC,NA
1984-05-01,IPCA,9.05
1984-05-01,SELIC,NA
1984-06-01,IPCA,10.08
1984-06-01,SELIC,NA
1984-07-01,IPCA,9.72
1984-07-01,SELIC,NA
1984-08-01,IPCA,9.35
1984-08-01,SELIC,NA
1984-09-01,IPCA,11.75
1984-09-01,SELIC,NA
1984-10-01,IPCA,10.44
1984-10-01,SELIC,NA
1984-11-01,IPCA,10.53
1984-11-01,SELIC,NA
1984-12-01,IPCA,11.98
1984-12-01,SELIC,NA
1985-01-01,IPCA,11.76
1985-01-01,SELIC,NA
1985-02-01,IPCA,10.87
1985-02-01,SELIC,NA
1985-03-01,IPCA,10.16
1985-03-01,SELIC,NA
1985-04-01,IPCA,8.2
1985-04-01,SELIC,NA
1985-05-01,IPCA,7.2
1985-05-01,SELIC,NA
1985-06-01,IPCA,8.49
1985-06-01,SELIC,NA
1985-07-01,IPCA,10.31
1985-07-01,SELIC,NA
1985-08-01,IPCA,12.05
1985-08-01,SELIC,NA
1985-09-01,IPCA,11.12
1985-09-01,SELIC,NA
1985-10-01,IPCA,10.62
1985-10-01,SELIC,NA
1985-11-01,IPCA,13.97
1985-11-01,SELIC,NA
1985-12-01,IPCA,15.07
1985-12-01,SELIC,NA
1986-01-01,IPCA,14.37
1986-01-01,SELIC,NA
1986-02-01,IPCA,12.72
1986-02-01,SELIC,NA
1986-03-01,IPCA,4.77
1986-03-01,SELIC,NA
1986-04-01,IPCA,0.78
1986-04-01,SELIC,NA
1986-05-01,IPCA,1.4
1986-05-01,SELIC,NA
1986-06-01,IPCA,1.27
1986-06-01,SELIC,1.27
1986-07-01,IPCA,1.71
1986-07-01,SELIC,1.95
1986-08-01,IPCA,3.55
1986-08-01,SELIC,2.57
1986-09-01,IPCA,1.72
1986-09-01,SELIC,2.94
1986-10-01,IPCA,1.9
1986-10-01,SELIC,1.96
1986-11-01,IPCA,5.45
1986-11-01,SELIC,2.37
1986-12-01,IPCA,11.65
1986-12-01,SELIC,5.47
1987-01-01,IPCA,13.21
1987-01-01,SELIC,11
1987-02-01,IPCA,12.64
1987-02-01,SELIC,19.61
1987-03-01,IPCA,16.37
1987-03-01,SELIC,11.95
1987-04-01,IPCA,19.1
1987-04-01,SELIC,15.3
1987-05-01,IPCA,21.45
1987-05-01,SELIC,24.63
1987-06-01,IPCA,19.71
1987-06-01,SELIC,18.02
1987-07-01,IPCA,9.21
1987-07-01,SELIC,8.91
1987-08-01,IPCA,4.87
1987-08-01,SELIC,8.09
1987-09-01,IPCA,7.78
1987-09-01,SELIC,7.99
1987-10-01,IPCA,11.22
1987-10-01,SELIC,9.45
1987-11-01,IPCA,15.08
1987-11-01,SELIC,12.92
1987-12-01,IPCA,14.15
1987-12-01,SELIC,14.38
1988-01-01,IPCA,18.89
1988-01-01,SELIC,16.78
1988-02-01,IPCA,15.7
1988-02-01,SELIC,18.35
1988-03-01,IPCA,17.6
1988-03-01,SELIC,16.59
1988-04-01,IPCA,19.29
1988-04-01,SELIC,20.25
1988-05-01,IPCA,17.42
1988-05-01,SELIC,18.65
1988-06-01,IPCA,22
1988-06-01,SELIC,20.17
1988-07-01,IPCA,21.91
1988-07-01,SELIC,24.69
1988-08-01,IPCA,21.59
1988-08-01,SELIC,22.63
1988-09-01,IPCA,27.45
1988-09-01,SELIC,26.25
1988-10-01,IPCA,25.62
1988-10-01,SELIC,29.79
1988-11-01,IPCA,27.94
1988-11-01,SELIC,28.41
1988-12-01,IPCA,28.7
1988-12-01,SELIC,30.24
1989-01-01,IPCA,37.49
1989-01-01,SELIC,22.97
1989-02-01,IPCA,16.78
1989-02-01,SELIC,18.95
1989-03-01,IPCA,6.82
1989-03-01,SELIC,20.41
1989-04-01,IPCA,8.33
1989-04-01,SELIC,11.52
1989-05-01,IPCA,17.92
1989-05-01,SELIC,11.43
1989-06-01,IPCA,28.65
1989-06-01,SELIC,27.29
1989-07-01,IPCA,27.74
1989-07-01,SELIC,33.15
1989-08-01,IPCA,33.71
1989-08-01,SELIC,35.49
1989-09-01,IPCA,37.56
1989-09-01,SELIC,38.58
1989-10-01,IPCA,39.77
1989-10-01,SELIC,47.7
1989-11-01,IPCA,47.82
1989-11-01,SELIC,48.41
1989-12-01,IPCA,51.5
1989-12-01,SELIC,64.21
1990-01-01,IPCA,67.55
1990-01-01,SELIC,67.6
1990-02-01,IPCA,75.73
1990-02-01,SELIC,82.04
1990-03-01,IPCA,82.39
1990-03-01,SELIC,36.76
1990-04-01,IPCA,15.52
1990-04-01,SELIC,4.23
1990-05-01,IPCA,7.59
1990-05-01,SELIC,5.69
1990-06-01,IPCA,11.75
1990-06-01,SELIC,8.73
1990-07-01,IPCA,12.92
1990-07-01,SELIC,13.79
1990-08-01,IPCA,12.88
1990-08-01,SELIC,11.53
1990-09-01,IPCA,14.41
1990-09-01,SELIC,15.21
1990-10-01,IPCA,14.36
1990-10-01,SELIC,16.49
1990-11-01,IPCA,16.81
1990-11-01,SELIC,19.83
1990-12-01,IPCA,18.44
1990-12-01,SELIC,22.86
1991-01-01,IPCA,20.75
1991-01-01,SELIC,21.02
1991-02-01,IPCA,20.72
1991-02-01,SELIC,6.85
1991-03-01,IPCA,11.92
1991-03-01,SELIC,8.99
1991-04-01,IPCA,4.99
1991-04-01,SELIC,9.67
1991-05-01,IPCA,7.43
1991-05-01,SELIC,9.56
1991-06-01,IPCA,11.19
1991-06-01,SELIC,10.32
1991-07-01,IPCA,12.41
1991-07-01,SELIC,12.39
1991-08-01,IPCA,15.63
1991-08-01,SELIC,15.75
1991-09-01,IPCA,15.63
1991-09-01,SELIC,19.78
1991-10-01,IPCA,20.23
1991-10-01,SELIC,25.95
1991-11-01,IPCA,25.21
1991-11-01,SELIC,32.43
1991-12-01,IPCA,23.71
1991-12-01,SELIC,31.17
1992-01-01,IPCA,25.94
1992-01-01,SELIC,29.06
1992-02-01,IPCA,24.32
1992-02-01,SELIC,28.76
1992-03-01,IPCA,21.4
1992-03-01,SELIC,26.86
1992-04-01,IPCA,19.93
1992-04-01,SELIC,23.92
1992-05-01,IPCA,24.86
1992-05-01,SELIC,23
1992-06-01,IPCA,20.21
1992-06-01,SELIC,24.28
1992-07-01,IPCA,21.83
1992-07-01,SELIC,26.21
1992-08-01,IPCA,22.14
1992-08-01,SELIC,25.65
1992-09-01,IPCA,24.63
1992-09-01,SELIC,27.66
1992-10-01,IPCA,25.24
1992-10-01,SELIC,28.18
1992-11-01,IPCA,22.49
1992-11-01,SELIC,26.4
1992-12-01,IPCA,25.24
1992-12-01,SELIC,25.92
1993-01-01,IPCA,30.35
1993-01-01,SELIC,28.52
1993-02-01,IPCA,24.98
1993-02-01,SELIC,28.9
1993-03-01,IPCA,27.26
1993-03-01,SELIC,28.36
1993-04-01,IPCA,27.75
1993-04-01,SELIC,30.53
1993-05-01,IPCA,27.69
1993-05-01,SELIC,30.9
1993-06-01,IPCA,30.07
1993-06-01,SELIC,31.91
1993-07-01,IPCA,30.72
1993-07-01,SELIC,32.73
1993-08-01,IPCA,32.96
1993-08-01,SELIC,34.64
1993-09-01,IPCA,35.69
1993-09-01,SELIC,37.23
1993-10-01,IPCA,33.92
1993-10-01,SELIC,38.4
1993-11-01,IPCA,35.56
1993-11-01,SELIC,38.38
1993-12-01,IPCA,36.84
1993-12-01,SELIC,40.38
1994-01-01,IPCA,41.31
1994-01-01,SELIC,42.76
1994-02-01,IPCA,40.27
1994-02-01,SELIC,41.99
1994-03-01,IPCA,42.75
1994-03-01,SELIC,46.42
1994-04-01,IPCA,42.68
1994-04-01,SELIC,46.49
1994-05-01,IPCA,44.03
1994-05-01,SELIC,47.95
1994-06-01,IPCA,47.43
1994-06-01,SELIC,50.62
1994-07-01,IPCA,6.84
1994-07-01,SELIC,6.87
1994-08-01,IPCA,1.86
1994-08-01,SELIC,4.17
1994-09-01,IPCA,1.53
1994-09-01,SELIC,3.83
1994-10-01,IPCA,2.62
1994-10-01,SELIC,3.62
1994-11-01,IPCA,2.81
1994-11-01,SELIC,4.07
1994-12-01,IPCA,1.71
1994-12-01,SELIC,3.8
1995-01-01,IPCA,1.7
1995-01-01,SELIC,3.37
1995-02-01,IPCA,1.02
1995-02-01,SELIC,3.25
1995-03-01,IPCA,1.55
1995-03-01,SELIC,4.26
1995-04-01,IPCA,2.43
1995-04-01,SELIC,4.26
1995-05-01,IPCA,2.67
1995-05-01,SELIC,4.25
1995-06-01,IPCA,2.26
1995-06-01,SELIC,4.04
1995-07-01,IPCA,2.36
1995-07-01,SELIC,4.02
1995-08-01,IPCA,0.99
1995-08-01,SELIC,3.84
1995-09-01,IPCA,0.99
1995-09-01,SELIC,3.32
1995-10-01,IPCA,1.41
1995-10-01,SELIC,3.09
1995-11-01,IPCA,1.47
1995-11-01,SELIC,2.88
1995-12-01,IPCA,1.56
1995-12-01,SELIC,2.78
1996-01-01,IPCA,1.34
1996-01-01,SELIC,2.58
1996-02-01,IPCA,1.03
1996-02-01,SELIC,2.35
1996-03-01,IPCA,0.35
1996-03-01,SELIC,2.22
1996-04-01,IPCA,1.26
1996-04-01,SELIC,2.07
1996-05-01,IPCA,1.22
1996-05-01,SELIC,2.01
1996-06-01,IPCA,1.19
1996-06-01,SELIC,1.98
1996-07-01,IPCA,1.11
1996-07-01,SELIC,1.93
1996-08-01,IPCA,0.44
1996-08-01,SELIC,1.97
1996-09-01,IPCA,0.15
1996-09-01,SELIC,1.9
1996-10-01,IPCA,0.3
1996-10-01,SELIC,1.86
1996-11-01,IPCA,0.32
1996-11-01,SELIC,1.8
1996-12-01,IPCA,0.47
1996-12-01,SELIC,1.8
1997-01-01,IPCA,1.18
1997-01-01,SELIC,1.73
1997-02-01,IPCA,0.5
1997-02-01,SELIC,1.67
1997-03-01,IPCA,0.51
1997-03-01,SELIC,1.64
1997-04-01,IPCA,0.88
1997-04-01,SELIC,1.66
1997-05-01,IPCA,0.41
1997-05-01,SELIC,1.58
1997-06-01,IPCA,0.54
1997-06-01,SELIC,1.61
1997-07-01,IPCA,0.22
1997-07-01,SELIC,1.6
1997-08-01,IPCA,-0.02
1997-08-01,SELIC,1.59
1997-09-01,IPCA,0.06
1997-09-01,SELIC,1.59
1997-10-01,IPCA,0.23
1997-10-01,SELIC,1.67
1997-11-01,IPCA,0.17
1997-11-01,SELIC,3.04
1997-12-01,IPCA,0.43
1997-12-01,SELIC,2.97
1998-01-01,IPCA,0.71
1998-01-01,SELIC,2.67
1998-02-01,IPCA,0.46
1998-02-01,SELIC,2.13
1998-03-01,IPCA,0.34
1998-03-01,SELIC,2.2
1998-04-01,IPCA,0.24
1998-04-01,SELIC,1.71
1998-05-01,IPCA,0.5
1998-05-01,SELIC,1.63
1998-06-01,IPCA,0.02
1998-06-01,SELIC,1.6
1998-07-01,IPCA,-0.12
1998-07-01,SELIC,1.7
1998-08-01,IPCA,-0.51
1998-08-01,SELIC,1.48
1998-09-01,IPCA,-0.22
1998-09-01,SELIC,2.49
1998-10-01,IPCA,0.02
1998-10-01,SELIC,2.94
1998-11-01,IPCA,-0.12
1998-11-01,SELIC,2.63
1998-12-01,IPCA,0.33
1998-12-01,SELIC,2.4
1999-01-01,IPCA,0.7
1999-01-01,SELIC,2.18
1999-02-01,IPCA,1.05
1999-02-01,SELIC,2.38
1999-03-01,IPCA,1.1
1999-03-01,SELIC,3.33
1999-04-01,IPCA,0.56
1999-04-01,SELIC,2.35
1999-05-01,IPCA,0.3
1999-05-01,SELIC,2.02
1999-06-01,IPCA,0.19
1999-06-01,SELIC,1.67
1999-07-01,IPCA,1.09
1999-07-01,SELIC,1.66
1999-08-01,IPCA,0.56
1999-08-01,SELIC,1.57
1999-09-01,IPCA,0.31
1999-09-01,SELIC,1.49
1999-10-01,IPCA,1.19
1999-10-01,SELIC,1.38
1999-11-01,IPCA,0.95
1999-11-01,SELIC,1.39
1999-12-01,IPCA,0.6
1999-12-01,SELIC,1.6
2000-01-01,IPCA,0.62
2000-01-01,SELIC,1.46
2000-02-01,IPCA,0.13
2000-02-01,SELIC,1.45
2000-03-01,IPCA,0.22
2000-03-01,SELIC,1.45
2000-04-01,IPCA,0.42
2000-04-01,SELIC,1.3
2000-05-01,IPCA,0.01
2000-05-01,SELIC,1.49
2000-06-01,IPCA,0.23
2000-06-01,SELIC,1.39
2000-07-01,IPCA,1.61
2000-07-01,SELIC,1.31
2000-08-01,IPCA,1.31
2000-08-01,SELIC,1.41
2000-09-01,IPCA,0.23
2000-09-01,SELIC,1.22
2000-10-01,IPCA,0.14
2000-10-01,SELIC,1.29
2000-11-01,IPCA,0.32
2000-11-01,SELIC,1.22
2000-12-01,IPCA,0.59
2000-12-01,SELIC,1.2
2001-01-01,IPCA,0.57
2001-01-01,SELIC,1.27
2001-02-01,IPCA,0.46
2001-02-01,SELIC,1.02
2001-03-01,IPCA,0.38
2001-03-01,SELIC,1.26
2001-04-01,IPCA,0.58
2001-04-01,SELIC,1.19
